1992|3604000|10|CHINA
1995|270300|3|GERMANY
1996|3788400|6|GERMANY
1994|1986600|1|MOROCCO
1994|4520000|3|IRAQ
1994|723200|10|MOZAMBIQUE
1993|2260000|8|IRAQ
1993|3710500|7|JAPAN
1998|3718700|10|PERU
1992|4353600|5|GERMANY
1995|1541900|0|PERU
1992|1904700|0|PERU
1994|818100|7|INDIA
1993|546006|10|CHINA
1994|4099545|6|ROMANIA
1995|3917343|5|ALGERIA
1997|1913121|8|ALGERIA
1993|1732819|1|IRAQ
1996|4377648|4|IRAQ
1992|1641618|6|ETHIOPIA
1998|1732819|8|EGYPT
1994|4473749|5|MOROCCO
1997|730408|4|UNITED STATES
1992|182802|0|INDIA
1992|3392937|7|VIETNAM
1992|4406448|3|GERMANY
1995|1562317|4|FRANCE
1993|2940832|2|ROMANIA
1998|3036066|6|UNITED STATES
1994|2668058|4|BRAZIL
1993|644014|9|JAPAN
1996|2578856|0|EGYPT
1995|2578856|3|EGYPT
1996|2581656|9|KENYA
1994|3319272|9|VIETNAM
1995|1106424|9|VIETNAM
1996|4333494|1|MOZAMBIQUE
1996|3230570|0|SAUDI ARABIA
1996|3784382|2|CHINA
1998|3138268|5|CHINA
1995|1478432|0|RUSSIA
1996|740016|0|KENYA
1995|4625100|1|PERU
1992|2220048|10|KENYA
1994|4547298|1|ARGENTINA
1992|2879962|8|UNITED STATES
1996|1950942|7|VIETNAM
1998|3444811|0|UNITED KINGDOM
1992|2141369|9|PERU
1998|3075699|3|MOZAMBIQUE
1995|186406|9|KENYA
1994|3168902|0|PERU
1992|4012029|4|IRAN
1994|4389941|8|GERMANY
1995|934030|1|VIETNAM
1996|561018|10|JORDAN
1998|2057066|5|CHINA
1993|2620884|5|INDIA
1992|3276105|4|UNITED STATES
1998|1123236|8|INDIA
1998|4680150|7|ROMANIA
1994|2436278|5|ETHIOPIA
1997|2061466|4|CANADA
1994|93703|3|CANADA
1994|562218|8|IRAQ
1995|4314938|4|INDIA
1992|3001696|7|INDIA
1992|3095499|6|INDIA
1992|2159769|3|RUSSIA
1996|4601247|9|RUSSIA
1997|281709|10|INDIA
1996|2162092|3|UNITED KINGDOM
1998|188008|6|UNITED KINGDOM
1995|3105432|10|EGYPT
1993|282612|8|MOZAMBIQUE
1992|3870564|6|INDONESIA
1997|2835120|5|BRAZIL
1994|568224|0|KENYA
1992|4740200|9|SAUDI ARABIA
1993|4740200|0|CHINA
1993|474020|6|UNITED STATES
1994|4460488|0|CHINA
1996|474520|1|CHINA
1997|3043360|2|CHINA
1995|4755250|9|CHINA
1994|2948255|8|GERMANY
1997|667135|10|JAPAN
1994|4488735|1|MOZAMBIQUE
1998|3346175|0|UNITED KINGDOM
1992|4790250|5|UNITED STATES
1996|1153272|1|ROMANIA
1992|384424|5|ROMANIA
1992|1637202|2|INDONESIA
1997|3370710|9|INDONESIA
1997|1446090|2|FRANCE
1995|2892180|4|INDIA
1995|2509156|4|UNITED KINGDOM
1997|4057452|6|ROMANIA
1996|1160472|0|MOZAMBIQUE
1996|3775434|10|EGYPT
1994|1645702|3|EGYPT
1996|4166958|5|ROMANIA
1994|1164084|4|UNITED STATES
1997|679749|6|KENYA
1994|485535|2|KENYA
1992|4578129|5|RUSSIA
1995|3705266|1|KENYA
1998|195014|10|INDONESIA
